name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,State,availability_365,Rating,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · 1 bedroom · 2 beds · 1 shared bath,Patrik,City of Port Phillip,-37.82871,144.95737,Shared room,24,1,1,9/08/2014,0.01,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in East Melbourne · 1 bedroom · 1 bed · 1 shared bath,Diego,Melbourne,-37.80994,144.97606,Shared room,24,14,1,18/07/2016,0.01,2,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Fitzroy North · 1 bedroom · 1 bed · 1 shared bath,Kate,City of Merri-bek,-37.77367,144.97948,Private room,24,3,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Carlton · 1 bedroom · 1 bed · 1 shared bath,Pedro,Melbourne,-37.79637,144.96667,Shared room,24,7,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Southbank · ★4.33 · 1 bedroom · 1 bed · 1 shared bath,Nikkho,Melbourne,-37.82567,144.96123,Private room,24,1,6,3/01/2019,0.09,1,Victoria,0,4.33,,,,,,,,,,,,,,,,,,,,,,
Home in Brunswick West · 1 bedroom · 1 bed · 1 shared bath,Julian,City of Merri-bek,-37.76197,144.94342,Private room,24,1,2,22/07/2019,0.04,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Guest suite in Blackburn · 1 bedroom · 1 bed · 1 private bath,Turi,City of Whitehorse,-37.81829,145.14271,Private room,24,7,2,10/12/2019,0.04,3,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Brunswick · 1 bedroom · 1 shared bath,Josefina,City of Merri-bek,-37.76455,144.96307,Private room,24,10,0,,,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in Melbourne · 1 bedroom · 1 bed · 1 bath,WeiChuan,Melbourne,-37.81429,144.95299,Private room,24,1,2,15/04/2021,0.06,1,Victoria,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Craigieburn · ★New · 4 bedrooms · 1 bed · 1 bath,Hakan,City of Hume,-37.6009185,144.8981786,Private room,24,1,0,,,1,Victoria,365,0,,,,,,,,,,,,,,,,,,,,,,
Home in Kelmscott · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Jonathan,City of Armadale,-32.12802,116.03851,Private room,24,3,3,9/02/2020,0.07,3,Western Australia,83,5,,,,,,,,,,,,,,,,,,,,,,
Guesthouse in Rockingham · 1 bedroom · 3 beds · 1 shared bath,Glenn,ROCKINGHAM,-32.29372,115.74524,Shared room,24,3,2,8/12/2020,0.05,1,Western Australia,277,0,,,,,,,,,,,,,,,,,,,,,,
Townhouse in Marrickville · 1 bedroom · 1 bed · 1.5 baths,Keeden,Marrickville Council,-33.90732,151.16035,Private room,24,90,2,27/05/2018,0.02,2,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Redfern · 1 bedroom · 1 bed · 1 shared bath,Kevin,Sydney,-33.89143,151.19752,Shared room,24,90,0,,,3,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Alexandria · 1 bedroom · 2 beds · 2 shared baths,Christian,Sydney,-33.89795,151.19717,Shared room,24,90,0,,,2,New South Wales,0,0,,,,,,,,,,,,,,,,,,,,,,
Home in Bexley · ★New · 2 bedrooms · 2 beds · 2 baths,Alfesani,"Rockdale, New South Wales",-33.95208191,151.124815,Private room,24,30,0,,,3,New South Wales,65,0,,,,,,,,,,,,,,,,,,,,,,
Rental unit in South Yarra · ★4.67 · 1 bedroom · 1 bed · 1 bath,Ronald,Melbourne,-37.83538,144.98543,Private room,25,7,3,7/01/2016,0.03,1,Victoria,0,4.67,,,,,,,,,,,,,,,,,,,,,,
